Date and time; Temperature °C; RH %; DewPoint °C; CO2 ppm
23/03/2023 15:09:32;;;;
23/03/2023 15:09:32;;;;
23/03/2023 15:09:33;;;;
23/03/2023 15:09:45;"22,751";"40,198";" 8,543";N/A
23/03/2023 15:10:00;"22,751";"40,198";" 8,543";"808,000"
23/03/2023 15:10:15;"22,761";"40,265";" 8,576";"808,000"
23/03/2023 15:10:30;"22,761";"40,265";" 8,567";"808,000"
23/03/2023 15:10:45;"22,761";"40,399";" 8,625";"808,000"
23/03/2023 15:11:00;"22,761";"40,308";" 8,592";"808,000"
23/03/2023 15:11:15;"22,751";"40,442";" 8,632";"808,000"
23/03/2023 15:11:30;"22,751";"40,515";" 8,659";"808,000"
23/03/2023 15:11:45;"22,751";"40,625";" 8,698";"808,000"
23/03/2023 15:12:00;"22,751";"40,533";" 8,665";"809,000"
23/03/2023 15:12:15;"22,741";"40,332";" 8,583";"809,000"
23/03/2023 15:12:30;"22,741";"40,356";" 8,574";"809,000"
23/03/2023 15:12:45;"22,711";"40,442";" 8,596";"809,000"
23/03/2023 15:13:00;"22,711";"40,533";" 8,629";"809,000"
23/03/2023 15:13:15;"22,691";"40,533";" 8,611";"809,000"
23/03/2023 15:13:30;"22,681";"40,424";" 8,571";"809,000"
23/03/2023 15:13:45;"22,681";"40,515";" 8,596";"809,000"
23/03/2023 15:14:00;"22,671";"40,491";" 8,578";"818,000"
23/03/2023 15:14:15;"22,671";"40,515";" 8,587";"818,000"
23/03/2023 15:14:30;"22,650";"40,558";" 8,584";"818,000"
23/03/2023 15:14:45;"22,650";"40,625";" 8,608";"818,000"
23/03/2023 15:15:00;"22,650";"40,674";" 8,626";"818,000"
23/03/2023 15:15:15;"22,640";"40,784";" 8,657";"818,000"
23/03/2023 15:15:30;"22,630";"40,692";" 8,615";"818,000"
23/03/2023 15:15:45;"22,630";"40,692";" 8,615";"818,000"
23/03/2023 15:16:00;"22,600";"40,717";" 8,624";"777,000"
23/03/2023 15:16:15;"22,610";"40,741";" 8,614";"777,000"
23/03/2023 15:16:30;"22,610";"40,808";" 8,639";"777,000"
23/03/2023 15:16:45;"22,600";"41,058";" 8,720";"777,000"
23/03/2023 15:17:00;"22,580";"41,010";" 8,684";"777,000"
23/03/2023 15:17:15;"22,570";"40,991";" 8,669";"777,000"
23/03/2023 15:17:30;"22,570";"40,942";" 8,651";"777,000"
23/03/2023 15:17:45;"22,570";"40,942";" 8,651";"777,000"
23/03/2023 15:18:00;"22,560";"40,942";" 8,642";"801,000"
23/03/2023 15:18:15;"22,560";"40,942";" 8,642";"801,000"
23/03/2023 15:18:30;"22,540";"40,942";" 8,624";"801,000"
23/03/2023 15:18:45;"22,540";"41,010";" 8,648";"801,000"
23/03/2023 15:19:00;"22,530";"41,010";" 8,639";"801,000"
23/03/2023 15:19:15;"22,530";"41,058";" 8,657";"801,000"
23/03/2023 15:19:30;"22,520";"41,083";" 8,657";"801,000"
23/03/2023 15:19:45;"22,520";"41,101";" 8,663";"801,000"
23/03/2023 15:20:00;"22,520";"41,309";" 8,737";"798,000"
23/03/2023 15:20:15;"22,499";"41,400";" 8,752";"798,000"
23/03/2023 15:20:30;"22,499";"41,333";" 8,728";"798,000"
23/03/2023 15:20:45;"22,489";"41,309";" 8,710";"798,000"
23/03/2023 15:21:00;"22,489";"41,400";" 8,719";"798,000"
23/03/2023 15:21:15;"22,489";"41,425";" 8,752";"798,000"
23/03/2023 15:21:30;"22,489";"41,425";" 8,752";"798,000"
23/03/2023 15:21:45;"22,469";"41,443";" 8,740";"798,000"
23/03/2023 15:22:00;"22,459";"41,443";" 8,731";"770,000"
23/03/2023 15:22:15;"22,459";"41,443";" 8,731";"770,000"
23/03/2023 15:22:30;"22,459";"41,534";" 8,764";"770,000"
23/03/2023 15:22:45;"22,449";"41,534";" 8,755";"770,000"
23/03/2023 15:23:00;"22,449";"41,534";" 8,746";"770,000"
23/03/2023 15:23:15;"22,449";"41,510";" 8,746";"770,000"
23/03/2023 15:23:30;"22,449";"41,534";" 8,755";"770,000"
23/03/2023 15:23:45;"22,449";"41,510";" 8,746";"770,000"
23/03/2023 15:24:00;"22,429";"41,583";" 8,754";"781,000"
23/03/2023 15:24:15;"22,429";"41,608";" 8,763";"781,000"
23/03/2023 15:24:30;"22,409";"41,650";" 8,760";"781,000"
23/03/2023 15:24:45;"22,419";"41,766";" 8,810";"781,000"
23/03/2023 15:25:00;"22,419";"41,809";" 8,818";"781,000"
23/03/2023 15:25:15;"22,409";"41,766";" 8,801";"781,000"
23/03/2023 15:25:30;"22,419";"41,766";" 8,810";"781,000"
23/03/2023 15:25:45;"22,419";"41,791";" 8,818";"781,000"
23/03/2023 15:26:00;"22,409";"41,791";" 8,809";"789,000"
23/03/2023 15:26:15;"22,409";"41,809";" 8,816";"789,000"
23/03/2023 15:26:30;"22,409";"41,791";" 8,809";"789,000"
23/03/2023 15:26:45;"22,409";"41,791";" 8,809";"789,000"
23/03/2023 15:27:00;"22,389";"41,834";" 8,806";"789,000"
23/03/2023 15:27:15;"22,389";"41,925";" 8,839";"789,000"
23/03/2023 15:27:30;"22,389";"41,992";" 8,862";"789,000"
23/03/2023 15:27:45;"22,379";"41,974";" 8,847";"789,000"
23/03/2023 15:28:00;"22,379";"41,949";" 8,838";"780,000"
23/03/2023 15:28:15;"22,358";"41,949";" 8,820";"780,000"
23/03/2023 15:28:30;"22,379";"42,432";" 9,007";"780,000"
23/03/2023 15:28:45;"22,379";"42,151";" 8,909";"780,000"
23/03/2023 15:29:00;"22,358";"42,316";" 8,948";"780,000"
23/03/2023 15:29:15;"22,358";"42,291";" 8,940";"780,000"
23/03/2023 15:29:30;"22,379";"42,291";" 8,958";"780,000"
23/03/2023 15:29:45;"22,358";"42,291";" 8,940";"780,000"
23/03/2023 15:30:00;"22,348";"42,358";" 8,963";"803,000"
23/03/2023 15:30:15;"22,358";"42,383";" 8,972";"803,000"
23/03/2023 15:30:30;"22,358";"42,383";" 8,972";"803,000"
23/03/2023 15:30:45;"22,348";"42,358";" 8,954";"803,000"
23/03/2023 15:31:00;"22,348";"42,590";" 9,035";"803,000"
23/03/2023 15:31:15;"22,358";"42,615";" 9,053";"803,000"
23/03/2023 15:31:30;"22,358";"42,615";" 9,053";"803,000"
23/03/2023 15:31:45;"22,358";"42,456";" 8,997";"803,000"
23/03/2023 15:32:00;"22,348";"42,432";" 8,980";"783,000"
23/03/2023 15:32:15;"22,348";"42,456";" 8,988";"783,000"
23/03/2023 15:32:30;"22,348";"42,474";" 8,995";"783,000"
23/03/2023 15:32:45;"22,358";"42,456";" 8,997";"783,000"
23/03/2023 15:33:00;"22,348";"42,432";" 8,980";"783,000"
23/03/2023 15:33:15;"22,348";"42,456";" 8,988";"783,000"
23/03/2023 15:33:30;"22,338";"42,474";" 8,986";"783,000"
23/03/2023 15:33:45;"22,338";"42,590";" 9,026";"783,000"
23/03/2023 15:34:00;"22,338";"42,639";" 9,043";"799,000"
23/03/2023 15:34:15;"22,318";"42,682";" 9,040";"799,000"
23/03/2023 15:34:30;"22,348";"42,682";" 9,067";"799,000"
23/03/2023 15:34:45;"22,338";"42,755";" 9,083";"799,000"
23/03/2023 15:35:00;"22,318";"42,682";" 9,040";"799,000"
23/03/2023 15:35:15;"22,338";"42,731";" 9,075";"799,000"
23/03/2023 15:35:30;"22,308";"42,706";" 9,039";"799,000"
23/03/2023 15:35:45;"22,318";"42,731";" 9,057";"799,000"
23/03/2023 15:36:00;"22,318";"42,706";" 9,048";"776,000"
23/03/2023 15:36:15;"22,318";"42,731";" 9,057";"776,000"
23/03/2023 15:36:30;"22,318";"42,615";" 9,057";"776,000"
23/03/2023 15:36:45;"22,318";"42,590";" 9,008";"776,000"
23/03/2023 15:37:00;"22,308";"42,590";" 8,999";"776,000"
23/03/2023 15:37:15;"22,318";"42,755";" 9,065";"776,000"
23/03/2023 15:37:30;"22,308";"42,731";" 9,057";"776,000"
23/03/2023 15:37:45;"22,318";"42,731";" 9,057";"776,000"
23/03/2023 15:38:00;"22,318";"42,706";" 9,048";"803,000"
23/03/2023 15:38:15;"22,318";"42,755";" 9,065";"803,000"
23/03/2023 15:38:30;"22,308";"42,773";" 9,062";"803,000"
23/03/2023 15:38:45;"22,318";"42,755";" 9,065";"803,000"
23/03/2023 15:39:00;"22,318";"42,731";" 9,057";"803,000"
23/03/2023 15:39:15;"22,318";"42,566";" 8,999";"803,000"
23/03/2023 15:39:30;"22,318";"42,615";" 9,016";"803,000"
23/03/2023 15:39:45;"22,318";"42,615";" 9,007";"803,000"
23/03/2023 15:40:00;"22,308";"42,615";" 9,007";"779,000"
23/03/2023 15:40:15;"22,318";"42,682";" 9,040";"779,000"
23/03/2023 15:40:30;"22,308";"42,664";" 9,024";"779,000"
23/03/2023 15:40:45;"22,308";"42,615";" 9,007";"779,000"
23/03/2023 15:41:00;"22,308";"42,615";" 9,007";"779,000"
23/03/2023 15:41:15;"22,308";"42,590";" 8,999";"779,000"
23/03/2023 15:41:30;"22,308";"42,548";" 8,984";"779,000"
23/03/2023 15:41:45;"22,298";"42,590";" 8,990";"779,000"
23/03/2023 15:42:00;"22,308";"42,566";" 8,990";"784,000"
23/03/2023 15:42:15;"22,308";"42,548";" 8,984";"784,000"
23/03/2023 15:42:30;"22,298";"42,499";" 8,958";"784,000"
23/03/2023 15:42:45;"22,298";"42,499";" 8,967";"784,000"
23/03/2023 15:43:00;"22,308";"42,474";" 8,959";"784,000"
23/03/2023 15:43:15;"22,298";"42,566";" 8,981";"784,000"
23/03/2023 15:43:30;"22,298";"42,499";" 8,967";"784,000"
23/03/2023 15:43:45;"22,298";"42,432";" 8,935";"784,000"
23/03/2023 15:44:00;"22,298";"42,456";" 8,943";"783,000"
23/03/2023 15:44:15;"22,298";"42,358";" 8,909";"783,000"
23/03/2023 15:44:30;"22,298";"42,316";" 8,894";"783,000"
